中文單位名稱,英文單位名稱,郵遞區號,地址,電話,POINT_X,POINT_Y
木新派出所,Muxin Police Station,116,臺北市文山區恆光街45號,02 29372488,307271.1072,2763956.184
指南派出所,Zhinan Police Station,116,臺北市文山區指南路2段177號,02 29382712,308343.439,2764497.535
萬芳派出所,Wanfang Police Station,116,臺北市文山區萬芳里萬美街1段50號,02 22391753,307213.873,2766148.234
復興派出所,Fuxing Police Station,116,臺北市文山區木柵路1段54號,02 22367140,305222.786,2764422.813
木柵派出所,Muzha Police Station,116,臺北市文山區木柵路2段202號,02 29397141,306905.3151,2764647.591
南港分局,Nangang Precinct,115,臺北市南港區向陽路150號,02 27839110,310003.346,2772030.218
玉成派出所,Yucheng  Police Station,115,臺北市南港區向陽路150號,02 27886958,310003.346,2772030.218
舊莊派出所,Jiuzhuang Police Station,115,臺北市南港區舊莊街1段213號,02 27822492,312818.0005,2770183.414
同德派出所,Tongde Police Station,115,臺北市南港區同德路83號,02 27867201,309089.9539,2771006.968
南港派出所,Nangang Police Station,115,臺北市南港區興中路12巷2號,02 27830476,311259.5243,2771999.235
內湖分局,Neihu Precinct,114,臺北市內湖區民權東路6段101號,02 27900505,309479.5406,2773578.316
康樂派出所,Kangle Police Station,114,臺北市內湖區康樂街110巷16弄20號,02 26342237,312383.4428,2773712.978
東湖派出所,Donghu Police Station,114,臺北市內湖區五分街10號,02 26313350,311841.2931,2773386.373
文德派出所,Wende Police Station,114,臺北市內湖區民權東路6段26號,02 27944946,308405.107,2773279.033
大湖派出所,Dahu Police Station,114,臺北市內湖區成功路5段1號,02 27909521,310660.0909,2775227.569
港墘派出所,Gangquian Police Station,114,臺北市內湖區內湖路1段550號,02 87518690,308173.3675,2774628.931
西湖派出所,Xihu Police Station,114,臺北市內湖區瑞光路515號,02 27987505,307430.3597,2774661.908
潭美派出所,Tanmei Police Station,114,臺北市內湖區新明路324號,02 27917233,308678.9853,2772027.555
內湖派出所,Neihu Police Station,114,臺北市內湖區內湖路2段261號,02 27931031,309528.8939,2774998.766
康寧派出所,Kangning Police Station,114,臺北市內湖區金湖路83號,02 87920061,310274.1368,2774901.187
北投分局,Beitou Precinct,112,臺北市北投區中央北路1段1號,02 28914521,300548.9026,2780643.948
永明派出所,Yongming Police Station,112,臺北市北投區石牌路2段10號,02 28213110,302092.547,2778930.882
竹子湖派出所,Zhuzihu Police Station,112,臺北市北投區竹子湖路16號,02 28616082,304455.2611,2784449.037
公園派出所,Gongyuan Police Station,112,臺北市北投區紗帽路110號,02 28610145,305308.6443,2782371.179
關渡派出所,Guandu Police Station,112,臺北市北投區大度路3段305號,02 28583864,296986.2179,2779479.235
石牌派出所,Shipai Police Station,112,臺北市北投區文林北路296號,02 28231513,301686.2559,2778047.503
奇岩派出所,Qiyan Police Station,112,臺北市北投區公館路209巷11號,02 28954410,301229,2780012
大屯派出所,Datun Police Station,112,臺北市北投區中和街534號,02 28913971,299729.61,2781995.911
光明派出所,Guangming Police Station,112,臺北市北投區泉源路14號,02 28911647,300838.202,2781083.509
長安派出所,Changan Police Station,112,臺北市北投區中央北路1段1號,02 28912029,300548.9026,2780643.948
士林分局,Shilin Precinct,111,臺北市士林區文林路235號,02 28813856,303058.5039,2775930.478
翠山派出所,Cuishan Police Station,111,臺北市士林區中社路1段56號,02 28411423,306503.1499,2777869.335
後港派出所,Hougang Police Station,111,臺北市士林區福港街151號,02 28829373,302253.7268,2775558.208
山仔后派出所,Shanzaihou Police Station,111,臺北市士林區格致路39號,02 28611295,305085.7076,2781092.822
永福派出所,Yongfu Police Station,111,臺北市士林區仰德大道2段2巷5號,02 28616353,304510.891,2777162.91
溪山派出所,Xishan Police Station,111,臺北市士林區至善路3段263號,02 28411110,308941.99,2779174.163
芝山岩派出所,Zhishanyan Police Station,111,臺北市士林區仰德大道1段16號,02 28813194,304247.3918,2777084.867
天母派出所,Tianmu Police Station,111,臺北市士林區中山北路7段192號,02 28714110,303741.3098,2779738.945
蘭雅派出所,Lanya Police Station,111,臺北市士林區中山北路6段153號1樓,02 28315001,302920.3415,2777692.207
社子派出所,Shezi Police Station,111,臺北市士林區延平北路6段200號,02 28122720,300992.308,2775803.481
文林派出所,Wenlin Police Station,111,臺北市士林區文林路235號,02 28812211,303058.5039,2775930.478
信義分局,Xinyi Precinct,110,臺北市信義區信義路5段17號,02 27234739,307287.7045,2769569.712
六張犁派出所,Liuzhangli Police Station,110,臺北市信義區黎平里嘉興街301號,02 27355068,306031.561,2768514.615
吳興街派出所,Wuxingjie St. Police Station,110,臺北市信義區吳興街262號,02 27398997,306907.252,2768843.297
福德街派出所,Fudejie St. Police Station,110,臺北市信義區福德街86號,02 27273424,308727.043,2770082.423
五分埔派出所,Wufenpu Police Station,110,臺北市信義區永吉路333號,02 27653349,308105.0636,2770959.046
三張犁派出所,Sanchangli Police Station,110,臺北市信義區信義路5段17號,02 27295561,307287.7045,2769569.712
松山分局,Songshan Precinct,105,臺北市南京東路3段340號,02 27782081,305265.6875,2771599.118
民有派出所,Minyou Police Station,105,臺北市松山區民權東路3段162號,02 27123638,305293.8918,2772728.824
三民派出所,Sanmin Police Station,105,臺北市松山區三民里民生東路5段163之1號,02 27621708,306791.8017,2772467.524
東社派出所,Dongshe Police Station,105,臺北市松山區精忠里敦化北路199巷5之1號,02 27135253,305632.6927,2772173.638
中崙派出所,Zhonglun Police Station,105,臺北市松山區長安東路2段229之1號,02 27711239,305091.4035,2771249.008
松山派出所,Songshan Police Station,105,臺北市松山區八德路4段692號,02 27670446,308234.9084,2771421.727
大同分局,Datong Precinct,103,臺北市大同區錦西街200號,02 25577262,301962.2656,2772449.219
建成派出所,Jiancheng Police Station,103,臺北市大同區承德路1段80號,02 25585463,302197.8939,2771720.012
民生西路派出所,Minsheng Rd. Police Station,103,臺北市大同區保安街47之1號,02 25538587,301662.6506,2772435.719
延平派出所,Yanping Police Station,103,臺北市大同區延平北路1段86號,02 25564340,301631.6885,2771657.575
重慶北路派出所,Chongqing N. Rd. Police Station,103,臺北市大同區重慶北路3段320之2號,02 25944741,301804.6477,2774233.409
寧夏路派出所,Ningxia Rd. Police Station,103,臺北市大同區錦西街200號,02 25575011,301962.2656,2772449.219
民族路派出所,Minzu Rd. Police Station,103,臺北市大同區重慶北路3段168號,02 25926204,301805.1675,2773495.131
萬華分局,Wanhua Precinct,108,臺北市萬華區康定路22號,02 23140364,300741.5626,2770867.943
青年路派出所,Qingnian Rd. Police Station,108,臺北市萬華區萬大路423巷112號,02 23054219,300677.1163,2768299.766
東園街派出所,Dongyuan St. Police Station,108,臺北市萬華區萬大路424巷85號,02 23033247,300037.193,2768218.941
西園路派出所,Xiyuan Rd. Police Station,108,臺北市萬華區東園街17號,02 23032943,300015.5372,2768988.322
莒光派出所,Juguang Police Station,108,臺北市萬華區莒光路171號,02 23064987,300728.5614,2769314.354
華江派出所,Huajiang Police Station,108,臺北市萬華區環河南路2段196號,02 23061531,299767.454,2769665.899
大理街派出所,Dali St. Police Station,108,臺北市萬華區大理街99號,02 23063468,300281.268,2769685.99
康定路派出所,Kangding Rd. Police Station,108,臺北市萬華區和平西路3段112號,02 23064226,300489.676,2769756.608
龍山派出所,Longshan Police Station,108,臺北市萬華區桂林路135號,02 23314823,300415.335,2770146.068
西門町派出所,Ximending Police Station,108,臺北市萬華區康定路22號,02 23312212,300743.338,2770870.094
